,pro_name,city_name,urlDomain
0,北京,北京市,bj
1,天津,天津市,tj
2,河北省,石家庄市,sjz
3,河北省,唐山市,tangshan
4,河北省,秦皇岛市,qhd
5,河北省,邯郸市,handan
6,河北省,邢台市,xingtai
7,河北省,保定市,baoding
8,河北省,张家口市,zjk
9,河北省,承德市,chengde
10,河北省,衡水市,hengshui
11,河北省,廊坊市,langfang
12,河北省,沧州市,cangzhou
13,山西省,太原市,taiyuan
14,山西省,大同市,datong
15,山西省,阳泉市,yangquan
16,山西省,长治市,changzhi
17,山西省,晋城市,jincheng
18,山西省,朔州市,shuozhou
19,山西省,晋中市,jinzhong
20,山西省,运城市,yuncheng
21,山西省,忻州市,xinzhou
22,山西省,临汾市,linfen
23,山西省,吕梁市,lvliang
24,内蒙古自治区,呼和浩特市,hhht
25,内蒙古自治区,包头市,baotou
26,内蒙古自治区,乌海市,wuhai
27,内蒙古自治区,赤峰市,chifeng
28,内蒙古自治区,通辽市,tongliao
29,内蒙古自治区,鄂尔多斯市,eeds
30,内蒙古自治区,呼伦贝尔市,hlbe
31,内蒙古自治区,巴彦淖尔市,byne
32,内蒙古自治区,乌兰察布市,wlcb
33,内蒙古自治区,兴安盟,xam
34,内蒙古自治区,锡林郭勒盟,xlglm
35,内蒙古自治区,阿拉善盟,alsm
36,辽宁省,沈阳市,shenyang
37,辽宁省,大连市,dalian
38,辽宁省,鞍山市,anshan
39,辽宁省,抚顺市,fushun
40,辽宁省,本溪市,benxi
41,辽宁省,丹东市,dandong
42,辽宁省,锦州市,jinzhou
43,辽宁省,营口市,yingkou
44,辽宁省,阜新市,fuxin
45,辽宁省,辽阳市,liaoyang
46,辽宁省,盘锦市,panjin
47,辽宁省,铁岭市,tieling
48,辽宁省,朝阳市,chaoyang
49,辽宁省,葫芦岛市,huludao
50,吉林省,长春市,changchun
51,吉林省,吉林市,jl
52,吉林省,四平市,siping
53,吉林省,辽源市,liaoyuan
54,吉林省,通化市,tonghua
55,吉林省,白山市,baishan
56,吉林省,松原市,songyuan
57,吉林省,白城市,baicheng
58,吉林省,延边朝鲜族自治州,yanbian
59,黑龙江省,哈尔滨市,haerbin
60,黑龙江省,齐齐哈尔市,qqhe
61,黑龙江省,鸡西市,jixi
62,黑龙江省,鹤岗市,hegang
63,黑龙江省,双鸭山市,sys
64,黑龙江省,大庆市,daqing
65,黑龙江省,伊春市,yichun
66,黑龙江省,佳木斯市,jiamusi
67,黑龙江省,七台河市,qitaihe
68,黑龙江省,牡丹江市,mdj
69,黑龙江省,黑河市,heihe
70,黑龙江省,绥化市,suihua
